Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears
41,Yes,Travel_Rarely,1102,Sales,Life Sciences,Female,94,Sales Executive,4,Single,5993,19479,8,Yes,8
49,No,Travel_Frequently,279,Research & Development,Life Sciences,Male,61,Research Scientist,2,Married,5130,24907,1,No,10
37,Yes,Travel_Rarely,1373,Research & Development,Other,Male,92,Laboratory Technician,3,Single,2090,2396,6,Yes,7
33,No,Travel_Frequently,1392,Research & Development,Life Sciences,Female,56,Research Scientist,3,Married,2909,23159,1,Yes,8
27,No,Travel_Rarely,591,Research & Development,Medical,Male,40,Laboratory Technician,2,Married,3468,16632,9,No,6
32,No,Travel_Frequently,1005,Research & Development,Life Sciences,Male,79,Laboratory Technician,4,Single,3068,11864,0,No,8
59,No,Travel_Rarely,1324,Research & Development,Medical,Female,81,Laboratory Technician,1,Married,2670,9964,4,Yes,12
30,No,Travel_Rarely,1358,Research & Development,Life Sciences,Male,67,Laboratory Technician,3,Divorced,2693,13335,1,No,1
38,No,Travel_Frequently,216,Research & Development,Life Sciences,Male,44,Manufacturing Director,3,Single,9526,8787,0,No,10
36,No,Travel_Rarely,1299,Research & Development,Medical,Male,94,Healthcare Representative,3,Married,5237,16577,6,No,17
35,No,Travel_Rarely,809,Research & Development,Medical,Male,84,Laboratory Technician,2,Married,2426,16479,0,No,6
29,No,Travel_Rarely,153,Research & Development,Life Sciences,Female,49,Laboratory Technician,3,Single,4193,12682,0,Yes,10
31,No,Travel_Rarely,670,Research & Development,Life Sciences,Male,31,Research Scientist,3,Divorced,2911,15170,1,No,5
34,No,Travel_Rarely,1346,Research & Development,Medical,Male,93,Laboratory Technician,4,Divorced,2661,8758,0,No,3
28,Yes,Travel_Rarely,103,Research & Development,Life Sciences,Male,50,Laboratory Technician,3,Single,2028,12947,5,Yes,6
29,No,Travel_Rarely,1389,Research & Development,Life Sciences,Female,51,Manufacturing Director,1,Divorced,9980,10195,1,No,10
32,No,Travel_Rarely,334,Research & Development,Life Sciences,Male,80,Research Scientist,2,Divorced,3298,15053,0,Yes,7
22,No,Non-Travel,1123,Research & Development,Medical,Male,96,Laboratory Technician,4,Divorced,2935,7324,1,Yes,1
53,No,Travel_Rarely,1219,Sales,Life Sciences,Female,78,Manager,4,Married,15427,22021,2,No,31
38,No,Travel_Rarely,371,Research & Development,Life Sciences,Male,45,Research Scientist,4,Single,3944,4306,5,Yes,6
24,No,Non-Travel,673,Research & Development,Other,Female,96,Manufacturing Director,3,Divorced,4011,8232,0,No,5
36,Yes,Travel_Rarely,1218,Sales,Life Sciences,Male,82,Sales Representative,1,Single,3407,6986,7,No,10
34,No,Travel_Rarely,419,Research & Development,Life Sciences,Female,53,Research Director,2,Single,11994,21293,0,No,13
21,No,Travel_Rarely,391,Research & Development,Life Sciences,Male,96,Research Scientist,4,Single,1232,19281,1,No,0
34,Yes,Travel_Rarely,699,Research & Development,Medical,Male,83,Research Scientist,1,Single,2960,17102,2,No,8
53,No,Travel_Rarely,1282,Research & Development,Other,Female,58,Manager,3,Divorced,19094,10735,4,No,26
32,Yes,Travel_Frequently,1125,Research & Development,Life Sciences,Female,72,Research Scientist,1,Single,3919,4681,1,Yes,10
42,No,Travel_Rarely,691,Sales,Marketing,Male,48,Sales Executive,2,Married,6825,21173,0,No,10
44,No,Travel_Rarely,477,Research & Development,Medical,Female,42,Healthcare Representative,4,Married,10248,2094,3,No,24
46,No,Travel_Rarely,705,Sales,Marketing,Female,83,Manager,1,Single,18947,22822,3,No,22
33,No,Travel_Rarely,924,Research & Development,Medical,Male,78,Laboratory Technician,4,Single,2496,6670,4,No,7
44,No,Travel_Rarely,1459,Research & Development,Other,Male,41,Healthcare Representative,4,Married,6465,19121,2,Yes,9
30,No,Travel_Rarely,125,Research & Development,Medical,Male,83,Laboratory Technician,3,Single,2206,16117,1,No,10
39,Yes,Travel_Rarely,895,Sales,Technical Degree,Male,56,Sales Representative,4,Married,2086,3335,3,No,19
24,Yes,Travel_Rarely,813,Research & Development,Medical,Male,61,Research Scientist,4,Married,2293,3020,2,Yes,6
43,No,Travel_Rarely,1273,Research & Development,Medical,Female,72,Research Scientist,3,Divorced,2645,21923,1,No,6
50,Yes,Travel_Rarely,869,Sales,Marketing,Male,86,Sales Representative,3,Married,2683,3810,1,Yes,3
35,No,Travel_Rarely,890,Sales,Marketing,Female,97,Sales Representative,4,Married,2014,9687,1,No,2
36,No,Travel_Rarely,852,Research & Development,Life Sciences,Female,82,Research Scientist,1,Married,3419,13072,9,Yes,6
33,No,Travel_Frequently,1141,Sales,Life Sciences,Female,42,Sales Executive,1,Married,5376,3193,2,No,10
35,No,Travel_Rarely,464,Research & Development,Other,Male,75,Laboratory Technician,4,Divorced,1951,10910,1,No,1
27,No,Travel_Rarely,1240,Research & Development,Life Sciences,Female,33,Laboratory Technician,1,Divorced,2341,19715,1,No,1
26,Yes,Travel_Rarely,1357,Research & Development,Life Sciences,Male,48,Laboratory Technician,3,Single,2293,10558,1,No,1
27,No,Travel_Frequently,994,Sales,Life Sciences,Male,37,Sales Executive,3,Single,8726,2975,1,No,9
30,No,Travel_Frequently,721,Research & Development,Medical,Female,58,Laboratory Technician,4,Single,4011,10781,1,No,12
41,Yes,Travel_Rarely,1360,Research & Development,Technical Degree,Female,49,Research Director,3,Married,19545,16280,1,No,23
34,No,Non-Travel,1065,Sales,Marketing,Male,72,Sales Executive,3,Single,4568,10034,0,No,10
37,No,Travel_Rarely,408,Research & Development,Life Sciences,Male,73,Research Scientist,2,Married,3022,10227,4,No,8
46,No,Travel_Frequently,1211,Sales,Marketing,Male,98,Sales Executive,4,Single,5772,20445,4,Yes,14
35,No,Travel_Rarely,1229,Research & Development,Life Sciences,Male,36,Laboratory Technician,4,Married,2269,4892,1,No,1
48,Yes,Travel_Rarely,626,Research & Development,Life Sciences,Male,98,Laboratory Technician,3,Single,5381,19294,9,Yes,23
28,Yes,Travel_Rarely,1434,Research & Development,Technical Degree,Male,50,Laboratory Technician,3,Single,3441,11179,1,Yes,2
44,No,Travel_Rarely,1488,Sales,Marketing,Female,75,Sales Executive,1,Divorced,5454,4009,5,Yes,9
35,No,Non-Travel,1097,Research & Development,Medical,Male,79,Healthcare Representative,1,Married,9884,8302,2,Yes,10
26,No,Travel_Rarely,1443,Sales,Marketing,Female,47,Sales Executive,4,Married,4157,21436,7,Yes,5
33,No,Travel_Frequently,515,Research & Development,Life Sciences,Female,98,Research Director,4,Single,13458,15146,1,Yes,15
35,No,Travel_Frequently,853,Sales,Life Sciences,Male,71,Sales Executive,1,Married,9069,11031,1,No,9
35,No,Travel_Rarely,1142,Research & Development,Medical,Female,30,Laboratory Technician,1,Married,4014,16002,3,Yes,4
31,No,Travel_Rarely,655,Research & Development,Life Sciences,Male,48,Laboratory Technician,4,Divorced,5915,9528,3,No,10
37,No,Travel_Rarely,1115,Research & Development,Life Sciences,Male,51,Manufacturing Director,3,Divorced,5993,2689,1,No,7
32,No,Travel_Rarely,427,Research & Development,Medical,Male,33,Manufacturing Director,4,Married,6162,10877,1,Yes,9
38,No,Travel_Frequently,653,Research & Development,Life Sciences,Female,50,Laboratory Technician,4,Single,2406,5456,1,No,10
50,No,Travel_Rarely,989,Research & Development,Medical,Female,43,Research Director,3,Divorced,18740,16701,5,Yes,29
59,No,Travel_Rarely,1435,Sales,Life Sciences,Female,99,Sales Executive,1,Single,7637,2354,7,No,28
36,No,Travel_Rarely,1223,Research & Development,Technical Degree,Female,59,Healthcare Representative,3,Divorced,10096,8202,1,No,17
55,No,Travel_Rarely,836,Research & Development,Medical,Female,33,Manager,3,Divorced,14756,19730,2,Yes,21
36,No,Travel_Frequently,1195,Research & Development,Life Sciences,Male,95,Manufacturing Director,2,Single,6499,22656,1,No,6
45,No,Travel_Rarely,1339,Research & Development,Life Sciences,Male,59,Research Scientist,1,Divorced,9724,18787,2,No,25
